paper,id,title,similar_arxiv_ids
06_paper_01,61,Fact or Fiction: Verifying Scientific Claims,"['1711.04434', '1901.05280', '1506.08959', '1701.07717', '1711.02281', '1504.01013', '1706.06978', '1610.05256', '1706.09579', '1711.01068', '1711.04903', '1711.10295', '1812.09916', '1808.09419', '1507.04296', '1703.06870', '1712.05884', '1606.02891', '1403.6652', '1506.04579', '1811.01136', '1605.06240', '1704.03976', '1606.01549', '1512.02167']"
06_paper_02,62,A Paragraph-level Multi-task Learning Model for Scientific Fact-Verification,"['1810.04650', '1710.10723', '1811.02798', '1901.11504', '1611.01587', '1406.4773', '1512.04412', '1603.03958', '1711.04434', '1509.01626', '1806.02817', '1703.03400', '1511.06732', '1707.02786', '1606.07947', '1808.01558', '1805.02220', '1604.05417', '1709.03612', '1806.04185', '1506.08959', '1603.06147', '1603.06021', '1709.08325', '1804.03786']"
06_paper_03,63,Scientific Claim Verification with VERT5ERINI,"['1603.03958', '1406.4773', '1805.02220', '1604.05417', '1506.08959', '1303.5778', '1511.06732', '1409.3215', '1505.03540', '1509.06461', '1406.6909', '1409.4842', '1406.3676', '1611.07004', '1901.04085', '1509.06664', '1511.02793', '1604.04112', '1804.00823', '1811.11482', '1707.09405', '1503.04596', '1603.01547', '1802.08352', '1809.08370']"
06_paper_04,64,"Abstract, Rationale, Stance: A Joint Model for Scientific Claim Verification","['1406.4773', '1611.01587', '1603.03958', '1604.01850', '1604.05417', '1506.08959', '1603.06021', '1511.06645', '1709.08325', '1703.03400', '1804.03786', '1806.02817', '1808.10143', '1811.09386', '1708.09200', '1805.02220', '1903.09359', '1711.03953', '1801.01641', '1805.08237', '1512.03385', '1511.08630', '1506.03767', '1612.03144', '1506.07503']"
06_paper_05,65,MULTIVERS: Improving scientific claim verification with weak supervision and full-document context,"['1603.03958', '1707.08052', '1812.09916', '1604.05417', '1611.08323', '1506.08959', '1207.0580', '1804.01005', '1806.06228', '1406.4773', '1704.03557', '1710.06555', '1511.07122', '1805.02220', '1805.08237', '1901.02860', '1707.05236', '1711.11585', '1610.09027', '1603.02814', '1611.05250', '1712.01815', '1604.05529', '1903.09359', '1303.5778']"
06_paper_06,66,Entity-based Claim Representation Improves Fact-Checking of Medical Content in Tweets,"['1603.01360', '1809.07950', '1805.02474', '1603.03793', '1802.06955', '1711.04434', '1406.4773', '1606.04797', '1806.04185', '1706.08090', '1606.03657', '1707.02968', '1706.02596', '1506.07503', '1712.02616', '1808.09075', '1505.07818', '1810.09951', '1603.06042', '1610.10099', '1804.00823', '1611.00144', '1808.06281', '1603.05027', '1904.08900']"
06_paper_07,67,Explainable Automated Fact-Checking for Public Health Claims,"['1711.04434', '1512.03385', '1511.08630', '1506.03767', '1612.03144', '1506.07503', '1703.05693', '1804.09337', '1505.04597', '1511.02274', '1511.06038', '1509.01626', '1606.04080', '1808.01558', '1603.05474', '1810.09951', '1607.04492', '1609.07959', '1711.02132', '1603.01360', '1606.01549', '1611.05431', '1901.11504', '1510.08160', '1511.06581']"
06_paper_08,68,CLIMATEBERT: A Pretrained Language Model for Climate-Related Text,"['1811.09386', '1808.10143', '1711.03953', '1812.01207', '1511.08630', '1603.06021', '1709.08325', '1703.03400', '1511.06038', '1509.01626', '1607.04492', '1804.03786', '1806.02817', '1901.11504', '1606.01549', '1805.02474', '1607.01759', '1503.03244', '1508.05326', '1903.11410', '1611.01587', '1602.02410', '1709.04348', '1412.1058', '1802.05577']"
06_paper_09,69,Evidence-based Fact-Checking of Health-related Claims,"['1711.04434', '1506.07503', '1505.07818', '1810.09951', '1603.06042', '1804.00823', '1611.00144', '1706.08090', '1904.08900', '1703.04247', '1602.02410', '1407.3867', '1301.3557', '1403.6652', '1607.01759', '1703.03400', '1512.08422', '1810.03541', '1811.01136', '1511.02228', '1206.2944', '1604.03540', '1409.8403', '1504.01013', '1710.04026']"
06_paper_10,610,COVID-Fact: Fact Extraction and Verification of Real-World Claims on COVID-19 Pandemic,"['1711.04434', '1704.08545', '1603.03958', '1604.05417', '1603.02814', '1506.08959', '1406.4773', '1605.08803', '1611.05250', '1609.05158', '1408.1717', '1506.01497', '1506.02640', '1802.08352', '1805.02220', '1701.06264', '1505.07818', '1811.11662', '1712.05884', '1802.06955', '1604.05529', '1601.02376', '1703.01290', '1704.03557', '1806.04185']"
